name,id,type,conf_%
arriba   baked winter squash mexican style,137739,plat,58.1
a bit different  breakfast pizza,31490,plat,75.7
all in the kitchen  chili,112140,plat,59.7
alouette  potatoes,59389,plat,64.9
amish  tomato ketchup  for canning,44061,plat,57.0
apple a day  milk shake,5289,dessert,45.0
aww  marinated olives,25274,plat,35.5
backyard style  barbecued ribs,67888,plat,43.9
bananas 4 ice cream  pie,70971,dessert,69.4
beat this  banana bread,75452,dessert,69.8
berry  good sandwich spread,109439,dessert,53.2
better than sex  strawberries,42198,dessert,58.4
better then bush s  baked beans,67547,plat,37.8
boat house  collard greens,107517,plat,57.6
calm your nerves  tonic,39959,plat,49.5
chicken lickin  good  pork chops,63986,plat,64.5
chile rellenos,43026,plat,67.0
chinese  candy,23933,dessert,67.0
chinese  chop suey,8559,plat,63.1
cream  of cauliflower soup  vegan,23850,plat,62.3
cream  of spinach soup,76808,plat,56.0
cream  of spinach soup  vegan,24701,plat,62.6
